modelo,repeticao,edital,perguntas,metrica,Doc. inteiro,RAG vetorial,Configuração híbrida,Configuração com busca adicional
Claude Sonnet 5,3,Subvenção Regional,15,Item esperado recuperado,1,0.7857,1,1
Claude Sonnet 5,3,Subvenção Regional,15,Citou o item esperado,1,0.7857,1,1
Claude Sonnet 5,3,Subvenção Regional,15,Tokens de entrada por pergunta,22105.6667,9164.2,17687.5333,23874.1333
Claude Sonnet 5,3,Subvenção Regional,15,Tokens totais por pergunta,22856.8,9844.2,18993.7333,25565.8
Claude Sonnet 5,3,Subvenção Regional,15,Latência média (s),6.9904,7.4813,8.5915,14.8433
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Acurácia sem referência,1,0.8,0.8667,0.8667
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Acurácia com referência,0.8,0.5333,0.8,0.8667
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Valores esperados (automático),1,0.8,0.8667,0.8667
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Respostas totalmente referenciadas,0.8,0.6,0.9333,1
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Item esperado recuperado,1,0.7333,0.9333,0.9333
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Citou o item esperado,1,0.7333,0.9333,0.9333
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Tokens de entrada por pergunta,25809.7333,8796.6667,16961,21087.8667
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Tokens totais por pergunta,26516.5333,9495.8,18179.3333,22647.8
Claude Sonnet 5,3,MIB R2 — Tecnologias Digitais,15,Latência média (s),6.7285,7.5534,8.2249,13.5707
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Acurácia sem referência,0.9333,0.7333,1,1
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Acurácia com referência,0.6667,0.5333,0.8667,1
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Valores esperados (automático),1,0.7333,1,1
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Respostas totalmente referenciadas,0.6667,0.6,0.8667,1
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Item esperado recuperado,1,0.7857,1,1
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Citou o item esperado,1,0.7857,1,1
Claude Sonnet 5,3,Agricultura Familiar para ICTs 2026,15,Tokens de entrada por pergunta,29026.8,5251.4,13628.8667,20842.0667
